date,WBNB,CAKE,BUSD
06-06-2024,711.2,3.09,1.038955576
07-06-2024,684,2.763,0.994329296
08-06-2024,682.7,2.708,0.981379706
09-06-2024,673,2.698,0.993333174
10-06-2024,625.1,2.615,0.989946358
11-06-2024,602.5,2.472,0.956675873
12-06-2024,619.4,2.565,0.979387461
13-06-2024,599.8,2.475,0.950101465
14-06-2024,603.3,2.46,0.945519303
15-06-2024,608.2,2.512,0.977793666
16-06-2024,610.8,2.529,0.97440685
17-06-2024,604.3,2.439,1.005485866
18-06-2024,588.6,2.219,0.978192115
19-06-2024,599.3,2.28,0.982774277
20-06-2024,587.7,2.253,0.973809177
21-06-2024,586.1,2.222,0.974008401
22-06-2024,591.1,2.261,0.969426238
23-06-2024,577.5,2.182,0.95567975
24-06-2024,568.1,2.138,0.944323956
25-06-2024,578.2,2.173,0.947710772
26-06-2024,573,2.151,0.935956528
27-06-2024,581.7,2.182,0.946913874
28-06-2024,567.4,2.134,0.939542569
29-06-2024,570,2.122,0.941734038
30-06-2024,582.2,2.148,0.94850767
01-07-2024,576.9,2.105,0.95030069
02-07-2024,580.1,2.128,0.96683632
03-07-2024,556.7,2.022,0.930776692
04-07-2024,513.6,1.806,0.862442702
05-07-2024,497.7,1.735,0.846903193
06-07-2024,526,1.86,0.894119391
07-07-2024,490.7,1.72,0.835746623
08-07-2024,510.6,1.794,0.859852784
09-07-2024,516.9,1.811,0.867821762
10-07-2024,524.7,1.876,0.874196945
11-07-2024,524.8,1.869,0.894717065
12-07-2024,533.8,1.881,0.945320078
13-07-2024,532.4,1.888,1.047323003
14-07-2024,544.8,1.935,1.036963331
15-07-2024,585.3,2.063,1.070233817
16-07-2024,576.2,2.043,1.154107316
17-07-2024,568.9,1.997,1.24714514
18-07-2024,571.9,2.002,1.134981767
19-07-2024,593.4,2.063,1.142153848
20-07-2024,593.1,2.058,1.182795639
21-07-2024,602.5,2.088,1.192159188
22-07-2024,587.2,2.027,1.211284737
23-07-2024,581.9,1.98,1.190366168
24-07-2024,574.9,1.95,1.231007959
25-07-2024,570.6,1.926,1.194549882
